# Height,   TempK,   Press,    RHum,    Wind,   WDir
   43.14,  278.02,102881.8, 87.6640,  4.7932,  47.76
   98.29,  278.70,102192.8, 85.8598,  5.3596,  73.62
  168.88,  278.85,101315.1, 86.2764,  7.6665,  91.35
  258.72,  278.87,100209.3, 84.1270,  9.4370,  96.24
  372.27,  278.97, 98829.1, 72.9290,  9.6788,  96.20
  514.68,  279.15, 97125.1, 54.2190,  9.0088,  95.25
  691.56,  279.27, 95050.4, 34.6094,  8.2797,  95.16
  908.69,  279.19, 92562.8, 19.5011,  7.8852,  95.47
 1171.61,  278.74, 89633.7, 12.4581,  7.9921,  96.23
 1484.84,  277.75, 86257.1, 16.1651,  8.5826,  98.47
 1851.13,  276.13, 82452.6, 29.1478,  9.2460, 102.23
 2270.63,  273.96, 78274.6, 43.0819,  9.4824, 106.67
 2740.54,  271.36, 73808.0, 48.8581,  8.8552, 110.94
 3256.59,  268.36, 69148.8, 44.5171,  7.3709, 115.77
 3817.74,  264.76, 64358.4, 39.7304,  5.5920, 118.99
 4426.06,  260.48, 59469.3, 39.3416,  3.8353, 125.13
 5083.70,  255.86, 54520.5, 37.2330,  3.2808, 131.62
 5779.57,  251.18, 49644.1, 23.3700,  2.0648, 167.42
 6480.16,  245.81, 45083.8, 15.5712,  1.7424, 212.80
 7164.24,  240.45, 40950.3, 16.9065,  1.9023, 263.61
 7831.28,  234.83, 37204.1, 32.4846,  2.3224, 250.14
 8481.25,  229.56, 33809.5, 49.9172,  3.1640, 274.83
 9115.11,  224.73, 30733.8, 54.2178,  4.2787, 289.58
 9734.15,  220.47, 27946.9, 43.9604,  4.7304, 290.20
10340.05,  216.87, 25421.3, 37.7988,  3.4780, 280.73
10934.45,  213.82, 23132.4, 34.4948,  2.8406, 262.02
11520.53,  212.49, 21057.2, 24.4382,  2.4722, 265.39
12103.72,  212.70, 19172.5, 13.3836,  0.9300, 237.67
12688.01,  213.47, 17457.3,  7.4591,  0.1872, 246.95
13275.83,  215.27, 15895.3,  3.1836,  0.6667, 139.73
13867.54,  216.31, 14473.2,  1.4774,  0.2450,   1.91
14460.98,  216.54, 13178.4,  0.7135,  1.2173, 352.72
15053.74,  215.81, 11999.3,  0.6873,  1.7820,   1.74
15644.77,  215.28, 10925.8,  0.9495,  2.0510, 357.56
16234.00,  214.49,  9948.3,  1.6070,  2.1719,   1.67
16821.00,  213.67,  9058.2,  1.7514,  2.2771,   1.94
17406.43,  213.34,  8247.8,  1.7007,  1.4865,   9.88
17990.78,  212.87,  7509.8,  1.7444,  1.4447,  28.16
18573.83,  212.39,  6837.9,  1.7808,  1.8807,  48.90
19155.32,  211.74,  6226.1,  1.7695,  2.4936,  52.17
19735.20,  211.21,  5669.1,  1.7231,  2.8211,  48.26
20313.93,  210.89,  5161.9,  1.6450,  3.1757,  35.90
20891.88,  210.65,  4700.1,  1.5745,  3.3830,  26.59
21469.39,  210.56,  4279.6,  1.4762,  3.2780,  17.17
22046.50,  210.37,  3896.7,  1.3920,  3.2364,   3.05
22622.92,  210.06,  3548.0,  1.3246,  3.5414, 348.74
23198.84,  210.00,  3230.6,  1.2135,  3.7550, 341.87
23774.77,  210.07,  2941.5,  1.0766,  3.8119, 342.75
24350.91,  210.15,  2678.3,  0.9296,  3.9442, 341.47
24927.41,  210.33,  2438.7,  0.7802,  4.3300, 339.56
25504.21,  210.36,  2220.6,  0.6903,  4.6111, 337.73
26081.07,  210.38,  2021.9,  0.6573,  5.0724, 334.45
26658.22,  210.58,  1841.0,  0.6041,  5.6662, 329.31
27235.80,  210.70,  1676.3,  0.5531,  6.0271, 320.93
27813.70,  210.81,  1526.3,  0.4976,  5.9350, 312.72
28391.85,  210.88,  1389.8,  0.4295,  5.9867, 303.56
28970.15,  210.93,  1265.4,  0.3579,  6.5464, 297.71
29548.79,  211.12,  1152.2,  0.3013,  7.1868, 293.57
30127.92,  211.29,  1049.1,  0.2750,  7.5017, 287.95
